Name,DisplayName,Icon,Slot,CombatClass,ReqLevel,Power,Armor,HealAmount,FaithXP,Value,bStackable,DragonAspect
coins,Gold Dragons,💰,,,0,0,0,0,0,0,true,
logs,Pine Logs,🪵,,,0,0,0,0,0,4,true,
ironwood_logs,Ironwood Logs,🪵,,,0,0,0,0,0,16,true,
weirwood_logs,Weirwood Logs,🪵,,,0,0,0,0,0,45,true,
goldleaf_logs,Goldleaf Logs,🌟,,,0,0,0,0,0,70,true,
silverbark_logs,Silverbark Logs,🌙,,,0,0,0,0,0,130,true,
heartwood_logs,Heartwood Logs,❤️‍🔥,,,0,0,0,0,0,220,true,
raw_trout,Raw River Trout,🐟,,,0,0,0,0,0,3,true,
trout,River Trout,🍥,,,0,0,0,4,0,8,true,
raw_salmon,Raw Salmon,🐟,,,0,0,0,0,0,10,true,
salmon,Smoked Salmon,🍣,,,0,0,0,9,0,25,true,
raw_blackfish,Raw Blackfish,🐡,,,0,0,0,0,0,25,true,
blackfish,Blackwater Blackfish,🍱,,,0,0,0,16,0,60,true,
copper_ore,Copper Ore,🟤,,,0,0,0,0,0,4,true,
iron_ore,Iron Ore,⚪,,,0,0,0,0,0,14,true,
dragonglass,Dragonglass,⬛,,,0,0,0,0,0,40,true,
valyrian_ore,Valyrian Ore,🔷,,,0,0,0,0,0,100,true,
bronze_bar,Bronze Bar,🟧,,,0,0,0,0,0,10,true,
iron_bar,Iron Bar,⬜,,,0,0,0,0,0,35,true,
steel_bar,Castle-forged Steel Bar,🔳,,,0,0,0,0,0,65,true,
obsidian_bar,Obsidian Bar,🌑,,,0,0,0,0,0,110,true,
valyrian_bar,Valyrian Steel Bar,💠,,,0,0,0,0,0,260,true,
arrows,Arrows,🎯,,,0,0,0,0,0,2,true,
bones,Bones,🦴,,,0,0,0,0,15,1,true,
big_bones,Drake Bones,🦴,,,0,0,0,0,45,20,true,
bronze_sword,Bronze Sword,🗡️,weapon,melee,1,4,0,0,0,25,false,
iron_sword,Iron Sword,🗡️,weapon,melee,10,7,0,0,0,70,false,
steel_sword,Castle-forged Sword,🗡️,weapon,melee,20,11,0,0,0,140,false,
obsidian_sword,Obsidian Blade,🗡️,weapon,melee,30,16,0,0,0,280,false,
valyrian_sword,Valyrian Steel Sword,🗡️,weapon,melee,50,25,0,0,0,650,false,
flamebrand_katana,Flamebrand Katana,⚔️,weapon,melee,60,30,0,0,0,2000,false,
shortbow,Shortbow,🏹,weapon,archery,1,4,0,0,0,20,false,
ironwood_bow,Ironwood Bow,🏹,weapon,archery,20,11,0,0,0,140,false,
weirwood_bow,Weirwood Bow,🏹,weapon,archery,40,18,0,0,0,400,false,
sunforged_bow,Sunforged Bow,🌞,weapon,archery,60,30,0,0,0,2000,false,
apprentice_staff,Apprentice Staff,🪄,weapon,sorcery,1,4,0,0,0,20,false,
acolyte_staff,Acolyte Staff,🪄,weapon,sorcery,20,11,0,0,0,140,false,
pyromancer_staff,Pyromancer Staff,🪄,weapon,sorcery,40,18,0,0,0,400,false,
serpent_staff,Serpent Staff,🐍,weapon,sorcery,60,30,0,0,0,2000,false,
bronze_armor,Bronze Plate,🛡️,armor,,1,0,4,0,0,25,false,
iron_armor,Iron Plate,🛡️,armor,,10,0,7,0,0,70,false,
steel_armor,Castle-forged Plate,🛡️,armor,,20,0,11,0,0,140,false,
obsidian_armor,Obsidian Scale,🛡️,armor,,30,0,16,0,0,280,false,
valyrian_armor,Valyrian Plate,🛡️,armor,,50,0,25,0,0,650,false,
frostscale_armor,Frostscale Armor,🧊,armor,,60,0,30,0,0,2000,false,
aspect_gild,Gilded Dragon Aspect,🟡,,,0,0,0,0,0,0,false,gild
aspect_venom,Venom Dragon Aspect,🟢,,,0,0,0,0,0,0,false,venom
aspect_flame,Flame Dragon Aspect,🔥,,,0,0,0,0,0,0,false,flame
aspect_frost,Frost Dragon Aspect,❄️,,,0,0,0,0,0,0,false,frost
aspect_wraith,Wraith Dragon Aspect,🐲,,,0,0,0,0,0,0,false,wraith
runed_chain,Runed Chain-Glaive,⛓️,weapon,melee,60,32,0,0,0,3000,false,
