Name,MobID,ItemID,MinQty,MaxQty,Chance
bandit_0,bandit,coins,4,22,1
bandit_1,bandit,bones,1,1,1
bandit_2,bandit,arrows,4,12,0.5
direwolf_0,direwolf,bones,1,1,1
direwolf_1,direwolf,raw_salmon,1,2,0.4
wight_0,wight,bones,1,1,1
wight_1,wight,dragonglass,1,2,0.35
wight_2,wight,coins,10,40,0.6
sellsword_0,sellsword,coins,20,80,1
sellsword_1,sellsword,bones,1,1,1
sellsword_2,sellsword,iron_ore,1,3,0.5
sellsword_3,sellsword,steel_bar,1,1,0.15
drake_0,drake,big_bones,1,1,1
drake_1,drake,dragonglass,1,3,0.8
drake_2,drake,valyrian_ore,1,1,0.2
drake_3,drake,coins,40,150,0.8
gilded_sentinel_0,gilded_sentinel,aspect_gild,1,1,1
gilded_sentinel_1,gilded_sentinel,sunforged_bow,1,1,0.3
gilded_sentinel_2,gilded_sentinel,coins,150,400,1
gilded_sentinel_3,gilded_sentinel,valyrian_ore,1,2,0.6
gilded_sentinel_4,gilded_sentinel,arrows,30,60,0.8
gilded_sentinel_5,gilded_sentinel,big_bones,1,1,1
venom_sentinel_0,venom_sentinel,aspect_venom,1,1,1
venom_sentinel_1,venom_sentinel,serpent_staff,1,1,0.3
venom_sentinel_2,venom_sentinel,coins,200,500,1
venom_sentinel_3,venom_sentinel,valyrian_ore,1,2,0.6
venom_sentinel_4,venom_sentinel,dragonglass,2,5,0.8
venom_sentinel_5,venom_sentinel,big_bones,1,1,1
flame_sentinel_0,flame_sentinel,aspect_flame,1,1,1
flame_sentinel_1,flame_sentinel,flamebrand_katana,1,1,0.3
flame_sentinel_2,flame_sentinel,coins,250,600,1
flame_sentinel_3,flame_sentinel,valyrian_ore,1,3,0.7
flame_sentinel_4,flame_sentinel,obsidian_bar,1,2,0.5
flame_sentinel_5,flame_sentinel,big_bones,1,1,1
frost_sentinel_0,frost_sentinel,aspect_frost,1,1,1
frost_sentinel_1,frost_sentinel,frostscale_armor,1,1,0.3
frost_sentinel_2,frost_sentinel,coins,300,800,1
frost_sentinel_3,frost_sentinel,valyrian_ore,2,4,0.8
frost_sentinel_4,frost_sentinel,valyrian_bar,1,1,0.25
frost_sentinel_5,frost_sentinel,big_bones,1,1,1
chained_wraith_0,chained_wraith,aspect_wraith,1,1,1
chained_wraith_1,chained_wraith,runed_chain,1,1,0.34
chained_wraith_2,chained_wraith,coins,500,1500,1
chained_wraith_3,chained_wraith,valyrian_bar,1,2,0.6
chained_wraith_4,chained_wraith,big_bones,2,3,1
