Name,DisplayName,Icon,Category,StartLevel
attack,Attack,⚔️,Combat,1
strength,Strength,💪,Combat,1
defence,Defence,🛡️,Combat,1
hitpoints,Hitpoints,❤️,Combat,10
archery,Archery,🏹,Combat,1
sorcery,Sorcery,🔮,Combat,1
faith,Faith,🌳,Combat,1
woodcutting,Woodcutting,🪓,Gathering,1
mining,Mining,⛏️,Gathering,1
fishing,Fishing,🎣,Gathering,1
smithing,Smithing,🔨,Artisan,1
cooking,Cooking,🍖,Artisan,1
dragonriding,Dragonriding,🐉,Signature,1
slayer,Slayer,💀,Support,1
godshand,Gods' Hand,⚡,Support,1
construction,Construction,🏠,Signature,1
