Name,Level,XP
L1,1,0
L2,2,83
L3,3,174
L4,4,276
L5,5,388
L6,6,512
L7,7,650
L8,8,801
L9,9,969
L10,10,1154
L11,11,1358
L12,12,1584
L13,13,1833
L14,14,2107
L15,15,2411
L16,16,2746
L17,17,3115
L18,18,3523
L19,19,3973
L20,20,4470
L21,21,5018
L22,22,5624
L23,23,6291
L24,24,7028
L25,25,7842
L26,26,8740
L27,27,9730
L28,28,10824
L29,29,12031
L30,30,13363
L31,31,14833
L32,32,16456
L33,33,18247
L34,34,20224
L35,35,22406
L36,36,24815
L37,37,27473
L38,38,30408
L39,39,33648
L40,40,37224
L41,41,41171
L42,42,45529
L43,43,50339
L44,44,55649
L45,45,61512
L46,46,67983
L47,47,75127
L48,48,83014
L49,49,91721
L50,50,101333
L51,51,111945
L52,52,123660
L53,53,136594
L54,54,150872
L55,55,166636
L56,56,184040
L57,57,203254
L58,58,224466
L59,59,247886
L60,60,273742
L61,61,302288
L62,62,333804
L63,63,368599
L64,64,407015
L65,65,449428
L66,66,496254
L67,67,547953
L68,68,605032
L69,69,668051
L70,70,737627
L71,71,814445
L72,72,899257
L73,73,992895
L74,74,1096278
L75,75,1210421
L76,76,1336443
L77,77,1475581
L78,78,1629200
L79,79,1798808
L80,80,1986068
L81,81,2192818
L82,82,2421087
L83,83,2673114
L84,84,2951373
L85,85,3258594
L86,86,3597792
L87,87,3972294
L88,88,4385776
L89,89,4842295
L90,90,5346332
L91,91,5902831
L92,92,6517253
L93,93,7195629
L94,94,7944614
L95,95,8771558
L96,96,9684577
L97,97,10692629
L98,98,11805606
L99,99,13034431
